STEP;C11;NP;OCB;OCC;OCW;WBL;WYC;TOTAL
141;1567.707275390625;0.0;1807.613037109375;21145.943359375;10666.3056640625;6350.220703125;28203.193359375;69740.8984375
142;1499.921875;0.0;1791.43896484375;21134.779296875;9989.564453125;5801.40234375;27993.044921875;68209.65625
143;1622.960693359375;0.0;1847.9552001953125;21585.345703125;10727.966796875;6014.35107421875;27367.33984375;69165.515625
144;1387.67724609375;0.0;1804.9503173828125;21861.486328125;10158.0791015625;5946.47314453125;27260.6171875;68418.890625
145;1493.04345703125;0.0;1678.8094482421875;22200.48828125;10548.89453125;6075.37841796875;26701.759765625;68697.9453125
146;1383.5028076171875;0.0;1850.275146484375;21059.751953125;9452.8994140625;6062.87890625;27136.634765625;66945.4140625
147;1517.971435546875;0.0;1750.8790283203125;22287.05078125;10037.8466796875;5884.767578125;26875.38671875;68353.3359375
148;1514.8675537109375;0.0;1740.3299560546875;21214.552734375;9929.7578125;5995.2646484375;26702.4453125;67096.53125
149;1312.493408203125;0.0;1789.4776611328125;22620.19140625;10071.6748046875;5970.37548828125;26867.759765625;68631.6796875
150;1563.8114013671875;0.0;1683.3287353515625;22067.796875;10492.06640625;5676.87890625;27591.642578125;69075.1875
151;1631.8795166015625;0.0;1620.0672607421875;22816.65234375;10091.6640625;6161.650390625;27499.181640625;69820.8046875
152;1625.923583984375;0.2353329360485077;1665.6656494140625;22635.37109375;10428.69140625;6270.54638671875;27233.1953125;69859.40625
153;1586.118408203125;0.0;1694.5380859375;22127.126953125;10241.4794921875;5872.98876953125;26997.853515625;68519.7265625
154;1642.8587646484375;0.0;1621.9981689453125;22354.72265625;10039.7841796875;6161.1396484375;27121.919921875;68941.9296875
155;1725.0611572265625;0.2353329360485077;1666.2318115234375;22738.470703125;10278.9970703125;6058.93408203125;27111.3984375;69578.96875
156;1565.3125;0.0;1695.0975341796875;21861.3984375;9273.8740234375;5973.80908203125;27528.20703125;67897.265625
157;1631.5113525390625;0.0;1579.368896484375;22082.0;10241.1591796875;6073.40185546875;28238.359375;69845.34375
158;1559.184326171875;0.0;1595.7183837890625;21591.763671875;9931.6650390625;6277.39990234375;27395.228515625;68350.4921875
159;1446.300048828125;0.0;1477.5079345703125;21293.013671875;10417.1474609375;5978.99365234375;27171.275390625;67783.703125
160;1655.00634765625;0.2353329360485077;1516.29443359375;21546.080078125;10901.90234375;6226.86328125;28348.599609375;70194.7890625
161;1689.02099609375;0.0;1667.205078125;22558.015625;10838.79296875;6401.919921875;27829.76171875;70984.5078125
162;1660.218994140625;0.0;1610.1177978515625;21976.859375;10161.138671875;5982.2177734375;27897.494140625;69287.671875
163;1411.2833251953125;0.0;1346.8397216796875;21593.55078125;9500.6669921875;5892.78955078125;28271.69921875;68016.25
164;1478.2880859375;0.0;1238.616455078125;20448.82421875;10158.5390625;6097.2158203125;27576.13671875;66997.109375
165;1580.732421875;0.0;1400.6046142578125;21259.36328125;9604.744140625;6099.33740234375;27696.51171875;67640.9140625
166;1625.8778076171875;0.0;1391.209716796875;21352.1953125;9704.3193359375;6313.55419921875;27779.435546875;68166.3046875
